EW,date,deaths,EW,MW,incdeaths
202004,2020-01-25,0,202004,2611,
202005,2020-02-01,0,202005,2612,0.0
202006,2020-02-08,0,202006,2613,0.0
202007,2020-02-15,0,202007,2614,0.0
202008,2020-02-22,0,202008,2615,0.0
202009,2020-02-29,1,202009,2616,1.0
202010,2020-03-07,17,202010,2617,16.0
202011,2020-03-14,58,202011,2618,41.0
202012,2020-03-21,466,202012,2619,408.0
202013,2020-03-28,2898,202013,2620,2432.0
202014,2020-04-04,10989,202014,2621,8091.0
202015,2020-04-11,25599,202015,2622,14610.0
202016,2020-04-18,40646,202016,2623,15047.0
202017,2020-04-25,56068,202017,2624,15422.0
202018,2020-05-02,69621,202018,2625,13553.0
202019,2020-05-09,81899,202019,2626,12278.0
202020,2020-05-16,91893,202020,2627,9994.0
202021,2020-05-23,100447,202021,2628,8554.0
202022,2020-05-30,107061,202022,2629,6614.0
202023,2020-06-06,113179,202023,2630,6118.0
202024,2020-06-13,118393,202024,2631,5214.0
202025,2020-06-20,122613,202025,2632,4220.0
202026,2020-06-27,126578,202026,2633,3965.0
202027,2020-07-04,130278,202027,2634,3700.0
202028,2020-07-11,135531,202028,2635,5253.0
202029,2020-07-18,141070,202029,2636,5539.0
202030,2020-07-25,147555,202030,2637,6485.0
202031,2020-08-01,155574,202031,2638,8019.0
202032,2020-08-08,162845,202032,2639,7271.0
202033,2020-08-15,169905,202033,2640,7060.0
202034,2020-08-22,176706,202034,2641,6801.0
202035,2020-08-29,183021,202035,2642,6315.0
202036,2020-09-05,188890,202036,2643,5869.0
202037,2020-09-12,194031,202037,2644,5141.0
202038,2020-09-19,199605,202038,2645,5574.0
202039,2020-09-26,204986,202039,2646,5381.0
202040,2020-10-03,209890,202040,2647,4904.0
202041,2020-10-10,214882,202041,2648,4992.0
202042,2020-10-17,219916,202042,2649,5034.0
202043,2020-10-24,225673,202043,2650,5757.0
202044,2020-10-31,231420,202044,2651,5747.0
202045,2020-11-07,238393,202045,2652,6973.0
202046,2020-11-14,246002,202046,2653,7609.0
202047,2020-11-21,256301,202047,2654,10299.0
202048,2020-11-28,266428,202048,2655,10127.0
202049,2020-12-05,281478,202049,2656,15050.0
202050,2020-12-12,298157,202050,2657,16679.0
202051,2020-12-19,316382,202051,2658,18225.0
202052,2020-12-26,332075,202052,2659,15693.0
202053,2021-01-02,350310,202053,2660,18235.0
202101,2021-01-09,372530,202101,2661,22220.0
202102,2021-01-16,395877,202102,2662,23347.0
202103,2021-01-23,417476,202103,2663,21599.0
202104,2021-01-30,439530,202104,2664,22054.0
